file_name,PAI_tree_only,slices_occupied,crown_height_m,elapsed_s,tag,PAI_combined,sbpltnm,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,infest_cat,infest_bin,dbh_cm,log_dbh
CHR2CA_4735,2.43413674318012,204,10.2,0.565495014190674,4735,5.31202161587527,49,Chrysophyllum cainito,569,2217,13,90,100,NA,Heavy,Infested,56.9,4.041295341132285
CHR2CA_673,4.71198902280631,455,22.85,2.64902687072754,673,7.96564128145438,91,Chrysophyllum cainito,840,4521,32,5,100,NA,Light,Infested,84,4.430816798843313
CORDBI_186159,2.55562124624625,201,10.05,0.125983953475952,186159,5.27951895043732,28,Cordia bicolor,200,1505,31,0,10,NA,None,None,20,2.995732273553991
CORDBI_207939,4.44377022653722,164,8.25,0.168483018875122,207939,5.85064102564103,20,Cordia bicolor,228,1115,44,100,100,NA,Heavy,Infested,22.8,3.126760535960395
CORDBI_29133,3.67019893483709,226,11.75,0.173875093460083,29133,5.93234841489689,91,Cordia bicolor,229,4620,42,0,100,NA,None,None,22.9,3.131136910560194
CORDBI_400820,2.82725090036014,100,5.05,0.100563049316406,400820,1.88571428571429,1,Cordia bicolor,248,21,21,90,95,NA,Heavy,Infested,24.8,3.2108436531709366
CORDBI_401981,7.02049804098855,374,18.7,0.673027038574219,401981,14.9685735294118,28,Cordia bicolor,307,1605,32,100,100,NA,Heavy,Infested,30.7,3.4242626545931514
CORDBI_414136,5.42230792498488,226,11.3,0.452859878540039,414136,7.80627229488704,23,Cordia bicolor,211,1404,43,0,5,NA,None,None,21.1,3.0492730404820207
CORDBI_8216,2.65121136173768,167,8.35,0.179014921188354,8216,6.34217631750163,1,Cordia bicolor,344,120,41,100,5,broken crown,Heavy,Infested,34.4,3.5380565643793527
DENDAR_6749,6.84812310744492,251,12.55,0.693298101425171,6749,9.15666113301515,20,Dendropanax arboreus,231,1014,34,75,5,NA,Heavy,Infested,23.1,3.139832617527748
DIPTPA_2854,2.88944617231407,519,25.95,2.13807797431946,2854,6.67658318815331,65,Dipteryx oleifera,625,3312,31,0,100,NA,None,None,62.5,4.135166556742356
DIPTPA_684,2.48918105178643,351,17.55,2.29967999458313,684,5.16253302348337,91,Dipteryx oleifera,853,4520,21,0,100,NA,None,None,85.3,4.446174454497633
DRYPST_1071,6.64307210719974,260,13.05,1.32639598846436,1071,4.24314503816794,82,Drypetes standleyi,416,4315,24,80,100,NA,Heavy,Infested,41.6,3.728100167267218
DRYPST_18029,9.97437874154787,377,18.85,1.93588399887085,18029,11.5053346924907,82,Drypetes standleyi,219,4214,42,0,5,NA,None,None,21.9,3.086486636822455
DRYPST_20742,6.20323232323232,311,15.55,1.11344504356384,20742,7.35414141414141,92,Drypetes standleyi,278,4704,41,0,0,NA,None,None,27.8,3.3250360206965914
DRYPST_25996,4.53009853309255,150,7.5,0.291303873062134,25996,9.53291979949875,92,Drypetes standleyi,262,4605,24,100,100,NA,Heavy,Infested,26.2,3.265759410767051
DRYPST_521,5.78474576271187,139,6.95,0.274956941604614,521,7.99443099273608,92,Drypetes standleyi,243,4605,41,0,5,NA,None,None,24.3,3.190476350346503
DRYPST_66983,8.2365372416056,276,13.8,1.45291519165039,66983,12.0821514423077,74,Drypetes standleyi,212,3810,32,20,5,NA,Light,Infested,21.2,3.054001181677967
DRYPST_72208,13.5038209606987,279,14,2.26589012145996,72208,17.4458547322084,74,Drypetes standleyi,229,3711,43,0,0,NA,None,None,22.9,3.131136910560194
EUGENE_2338,5.02503966155473,253,12.65,0.23670506477356,2338,9.01487455197133,72,Eugenia nesiotica,358,3613,14,5,50,NA,Light,Infested,35.8,3.5779478934066544
EUGENE_5222,1.64341463414634,47,2.4,0.0332100391387939,5222,3.57125850340136,36,Eugenia nesiotica,292,1907,41,100,100,broken crown,Heavy,Infested,29.2,3.374168709274236
EUGENE_5541,7.74817518248175,235,11.75,0.505382061004639,5541,11.4524036762107,31,Eugenia nesiotica,323,1708,11,80,5,NA,Heavy,Infested,32.3,3.475067230228611
EUGEOE_104598,3.24795072257759,192,9.6,0.375550985336304,104598,7.05600516573397,64,Eugenia oerstediana,263,3123,22,20,100,NA,Light,Infested,26.3,3.269568939183719
EUGEOE_141770,5.11810994387053,301,15.05,0.62702488899231,141770,10.6262116167222,51,Eugenia oerstediana,255,2409,11,0,25,NA,None,None,25.5,3.2386784521643803
EUGEOE_146461,5.68070987654321,266,13.3,1.06905889511108,146461,9.84069351230425,51,Eugenia oerstediana,306,2308,34,90,90,NA,Heavy,Infested,30.6,3.4210000089583352
EUGEOE_197229,6.72392116182573,299,14.95,1.03439116477966,197229,14.2095004095004,23,Eugenia oerstediana,335,1304,34,95,100,NA,Heavy,Infested,33.5,3.5115454388310208
EUGEOE_87583,3.93815909199751,180,9,0.214854955673218,87583,6.64915611814346,68,Eugenia oerstediana,202,3415,11,0,5,NA,None,None,20.2,3.005682604407159
