fid,sbpltnm,tag,species,quadrnt,tag6,lianas_2019,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority
533,69,082615,Apeiba membranacea,3516,082615,100,broken crown,NA,21892,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,prehensile_branches,-79.848800884356,9.15408519729833,completed
201,69,082699,Trichilia tuberculata,3516,082699,0,NA,There is just one small Liana twining up the trunk also using adhesive roots at base,NA,NA,NA,NA,NA,Direct,NA,NA,NA,NA,NA,NA,-79.8486827540995,9.15405295763853,completed
202,69,082724,Trichilia tuberculata,3516,082724,0,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8486620614069,9.15396987877456,completed
273,69,082777,Heisteria concinna,3517,082777,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8487593805076,9.15422669993596,NA
204,69,082836,Trichilia tuberculata,3517,082836,0,NA,Really need to add option for an uninfested!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8486464486873,9.15422722045025,completed
693,69,082848,Beilschmiedia pendula,3517,082848,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8486485261076,9.15419471808903,NA
376,68,087425,Virola sebifera,3414,087425,20,NA,NA,NA,NA,NA,NA,NA,Both,adhesive_roots,NA,NA,NA,NA,NA,-79.8490127978298,9.15368641133806,completed
409,68,087545,Pouteria reticulata,3414,087545,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8489056825243,9.15375319575062,NA
749,68,087583,Eugenia oerstediana,3415,087583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8489989007555,9.15379450616073,NA
314,68,087652,Turpinia occidentalis,3415,087652,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.848937484243,9.15385657660011,NA
247,68,087710,Alchornea costaricensis,3415,087710,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8489100400976,9.15388546528853,NA
248,68,087714,Alchornea costaricensis,3415,087714,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8488862975479,9.15388733827269,NA
334,68,087724,Simarouba amara,3415,087724,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8489197204255,9.15392019458049,NA
353,68,087763,Beilschmiedia pendula,3415,087763,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8488539787694,9.15384909171859,NA
555,69,087825,Guarea guidonia,3416,087825,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8489958257931,9.15405772236779,NA
286,69,087926,Prioria copaifera,3416,087926,5,broken crown,NA,01340535,21244,NA,NA,NA,Direct,NA,NA,NA,NA,NA,twining,-79.8488622689343,9.15404936757059,completed
377,69,087943,Alchornea costaricensis,3416,087943,25,NA,Many Liana‘s twining around other Liana‘s.,01350632,01340557,01350631,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.848840568332,9.15394363083021,completed
